patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
299	5	0.001563	0.002760	0.001479	148.796476	0.095041	0.059139	29.240809	921.500000	22737.000000	4.472426	120.750000	2867.000000			0.000000			0.000000			0.000000	1.875791	1.563358	0.833439
300	2	0.000816	0.000685	0.002470	-162.071930	-0.549124	-0.356075	-18.533333	-2878.000000	3678.000000	-5.100000	-330.000000	408.000000			0.000000			0.000000			0.000000	0.244815	0.244815	1.000000
301	1									667.000000			58.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
302	1									698.000000			63.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
303	5	0.000490	0.000685	0.000413	100.777693	0.031680	0.070336	-5.925000	100.250000	22069.000000	-4.847222	-45.500000	3845.000000			0.000000			0.000000			0.000000	0.587595	0.366837	0.624302
304	1									1605.000000			209.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
305	1									599.000000			87.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
306	1									1924.000000			240.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
307	1									4751.000000			656.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
308	11	0.001027	0.001702	0.001210	110.536351	-0.105601	-0.065369	-7.768347	-557.000000	47913.000000	4.934179	-119.875000	8570.000000			0.000000			0.000000			0.000000	3.022938	1.030989	0.341055
309	5	0.000490	0.000514	0.000585	116.599109	0.000000	-0.006095	5.000000	25.000000	10027.000000	14.500000	72.500000	2481.000000			0.000000			0.000000			0.000000	0.587963	0.481123	0.818288
310	1									8652.000000			1070.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
311	1									852.000000			11.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
312	1									6282.000000			452.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
313	1									1945.000000			136.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
314	1									461.000000			53.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
